EVENT_DATE,price,tax
1994-12-31,200000.0,0.0
1995-01-31,185000.0,0.0
1995-02-28,87250.0,0.2235202492211838
1995-03-31,3000.0,0.0
1995-04-30,98000.0,0.0
1995-05-31,109995.0,0.0
1995-06-30,86050.0,-1.0342679127725856
1995-07-31,105700.0,0.0
1995-08-31,138500.0,0.0
1995-09-30,166500.0,0.0
1995-10-31,181350.0,0.0
1995-11-30,57450.0,-0.8964174454828661
1995-12-31,24720.0,0.0
1996-01-31,98125.0,0.0
1996-02-29,79000.0,0.0
1996-03-31,190000.0,0.0
1996-04-30,184700.0,2.661993769470405
1996-05-31,260000.0,2.5654205607476634
1996-06-30,130000.0,0.4992211838006231
1996-07-31,50000.0,0.0
1996-08-31,214000.0,0.022585669781931463
1996-09-30,125000.0,0.0
1996-10-31,113450.0,0.2644080996884735
1996-11-30,268000.0,1.9937694704049844
1996-12-31,105000.0,-0.6869158878504673
1997-01-31,115857.5,-1.273753894080997
1997-02-28,149500.0,-0.07165109034267914
1997-03-31,66250.0,-0.2986760124610592
1997-04-30,71600.0,0.0
1997-05-31,107450.0,-0.5136292834890965
1997-06-30,73750.0,0.0
1997-07-31,148050.0,0.0
1997-08-31,126500.0,0.0
1997-09-30,158000.0,0.0
1997-10-31,80700.0,0.0
1997-11-30,116175.0,-1.8341121495327102
1997-12-31,166250.0,-0.22313084112149534
1998-01-31,159750.0,-1.1277258566978192
1998-02-28,201000.0,0.0
1998-03-31,80500.0,0.3629283489096573
1998-04-30,94000.0,0.0
1998-05-31,95200.0,-0.6495327102803738
1998-06-30,102000.0,-0.06931464174454828
1998-07-31,105000.0,0.0
1998-08-31,223000.0,1.5514018691588785
1998-09-30,40122.0,1.220404984423676
1998-10-31,112000.0,0.0
1998-11-30,288450.0,2.2445482866043616
1998-12-31,124950.0,0.0
1999-01-31,229150.0,0.0
1999-02-28,66500.0,-0.43730529595015577
1999-04-30,127000.0,0.6822429906542056
1999-05-31,155000.0,0.0
1999-06-30,110950.0,-0.20638629283489096
1999-07-31,304350.0,0.48286604361370716
1999-08-31,180000.0,0.0
1999-09-30,133000.0,0.0
1999-10-31,91500.0,0.0
1999-11-30,182500.0,0.0
1999-12-31,230000.0,0.0
2000-01-31,126891.0,-0.6117601246105919
2000-02-29,447000.0,0.0
2000-03-31,128350.0,0.04672897196261682
2000-04-30,300200.0,0.0
2000-05-31,281000.0,2.338785046728972
2000-06-30,167500.0,0.0
2000-07-31,129500.0,2.0767133956386292
2000-08-31,105000.0,0.0
2000-09-30,122000.0,-1.0389408099688473
2000-10-31,82500.0,0.0
2000-11-30,53000.0,0.0
2000-12-31,215000.0,0.0
2001-01-31,147200.0,0.0
2001-02-28,126500.0,-0.0969626168224299
2001-03-31,90000.0,0.0
2001-04-30,88500.0,0.0
2001-05-31,127450.0,1.4365264797507789
2001-06-30,102600.0,0.0
2001-07-31,149105.5,-0.6214953271028038
2001-08-31,100000.0,0.0
2001-09-30,100177.5,-0.9178348909657321
2001-10-31,116000.0,0.09579439252336448
2001-11-30,136700.0,-0.8259345794392523
2001-12-31,125000.0,0.0
2002-01-31,159450.0,0.3508566978193147
2002-02-28,141000.0,0.0
2002-03-31,82000.0,0.0
2002-04-30,187000.0,0.0
2002-05-31,79500.0,-1.4197819314641744
2002-06-30,168000.0,0.0
2002-07-31,139450.0,-0.6012461059190032
2002-08-31,107182.0,-0.5007788161993769
2002-09-30,151462.5,-0.6608255451713395
2002-10-31,152500.0,0.0
2002-11-30,160000.0,0.0
2002-12-31,227500.0,-0.8882398753894081
2003-01-31,191500.0,0.0
2003-02-28,186500.0,0.0
2003-03-31,115000.0,0.0
2003-04-30,328500.0,0.0
2003-05-31,229900.0,1.162772585669782
2003-06-30,427000.0,2.704828660436137
2003-07-31,163500.0,-0.33333333333333337
2003-08-31,178000.0,0.0
2003-09-30,270000.0,0.0
2003-10-31,252690.0,0.0
2003-11-30,65700.0,0.0
2003-12-31,95000.0,0.0
2004-01-31,135500.0,-0.6253894080996885
2004-02-29,205000.0,0.0
2004-03-31,206000.0,0.0
2004-04-30,385500.0,0.0
2004-05-31,182000.0,-0.12383177570093458
2004-06-30,145000.0,0.0
2004-07-31,330000.0,0.0
2004-08-31,167000.0,0.0
2004-09-30,245000.0,0.08021806853582554
2004-10-31,385900.0,0.0
2004-11-30,245000.0,0.0
2004-12-31,139000.0,0.0
2005-01-31,244142.5,0.04361370716510903
2005-02-28,292500.0,0.8605919003115264
2005-03-31,373500.0,2.6690031152647977
2005-04-30,180000.0,-0.3060747663551402
2005-05-31,424000.0,0.15848909657320873
2005-06-30,209900.0,0.0
2005-07-31,254500.0,0.0
2005-08-31,325477.0,0.0
2005-09-30,225890.0,0.0
2005-10-31,206500.0,0.0
2005-11-30,226500.0,-0.6717289719626168
2005-12-31,195000.0,-0.06230529595015576
2006-01-31,260000.0,0.32710280373831774
2006-02-28,365198.0,1.6288940809968846
2006-03-31,275000.0,0.0
2006-04-30,280000.0,-0.22313084112149534
2006-05-31,179950.0,0.0
2006-06-30,262500.0,0.0
2006-07-31,203100.0,0.0
2006-08-31,427850.0,0.5969626168224299
2006-09-30,211349.0,0.0
2006-10-31,472444.0,0.0
2006-11-30,130000.0,0.0
2006-12-31,272500.0,0.0
2007-01-31,399853.5,0.7546728971962616
2007-02-28,329950.0,0.0
2007-03-31,338639.5,0.0
2007-04-30,208000.0,-0.367601246105919
2007-05-31,345450.0,0.0
2007-06-30,81950.0,-1.25
2007-07-31,245100.0,0.0
2007-08-31,345075.5,0.0
2007-09-30,191000.0,-0.6425233644859814
2007-10-31,155000.0,0.0
2007-11-30,203997.5,0.0
2007-12-31,281300.0,0.0
2008-01-31,550000.0,0.0
2008-02-29,232500.0,0.09034267912772585
2008-04-30,212000.0,-0.3648753894080997
2008-06-30,164000.0,-0.6748442367601246
2008-07-31,202620.0,0.0
2008-08-31,267000.0,-0.4470404984423676
2008-09-30,312900.0,0.9182242990654206
2008-10-31,166000.5,0.0
2008-11-30,311000.0,0.0
2008-12-31,250000.0,0.0
2009-01-31,131500.0,0.0
2009-02-28,331000.0,0.42601246105919005
2009-03-31,103750.0,0.0
2009-04-30,93000.0,0.0
2009-05-31,115900.0,0.09501557632398754
2009-06-30,257501.0,0.0
2009-07-31,330000.0,0.0
